,Relaxed,Dizzy,Hungry,Euphoric,Happy,Depression,Insomnia,Pain,Stress,Cramps,Creative,Energetic,Talkative,Lack of Appetite,Nausea,Dry Mouth,Headache,Uplifted,Tingly,Paranoid,Sleepy,Fatigue,Headaches,Dry Eyes,Focused,Eye Pressure,Anxious,Giggly,Aroused,Inflammation,Spasticity,Seizures,Muscle Spasms
Alohaberry,yes,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no
Alpha Blue,yes,yes,no,no,yes,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no
Alpha Express,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no
Alpha OG,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Alpine Blue,no,no,no,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes
Alpine Star,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Ambrosia,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
American Dream,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no
American Kush,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes
Americano,yes,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no
Amnesia,yes,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no
Amnesia Haze,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no
Ancient Kush,yes,no,no,no,no,no,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no
Ancient OG,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no
Anesthesia,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no
Angel OG,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Animal Cookies,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no
Anonymous OG,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,no,no,yes,no,no,yes,yes,no,no,no
Ape Shit,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no
