,Relaxed,Dizzy,Hungry,Euphoric,Happy,Depression,Insomnia,Pain,Stress,Cramps,Creative,Energetic,Talkative,Lack of Appetite,Nausea,Dry Mouth,Headache,Uplifted,Tingly,Paranoid,Sleepy,Fatigue,Headaches,Dry Eyes,Focused,Eye Pressure,Anxious,Giggly,Aroused,Inflammation,Spasticity,Seizures,Muscle Spasms
Cali Kush,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no
California Grapefruit,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no
California Orange,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no
California Sour,yes,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes
Cambodian,yes,no,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Cambodian Haze,no,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no
Candy Cane,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Candy Jack,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Candyland,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no
Canna-Tsu,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no,yes
CannaSutra,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Cannadential,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no
Cannalope Haze,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no
Cannalope Kush,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no
Cannatonic,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no,yes
Capers,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes
Captain America OG,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Captain's Cake,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Caramel Candy Kush,yes,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
Caramel Kona Coffee Kush,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Caramelicious,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,yes
Caramella,yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no
Caramelo,no,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
Carl Sagan,no,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,yes
Carnival,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no
Cascadia Kush,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no
Casey Jones,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no
Cashus Clay,no,no,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no
Casper OG,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Cat Piss,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no
Cataract Kush,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no
Catfish,no,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Cello Sweet OG,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Central American,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Cerebro Haze,yes,no,no,no,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Chairman Chem Sou,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Champagne Kush,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
Charlie Sheen,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no
Charlotte's Web,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no
Cheese,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Cheese Candy,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no
Cheese Quake,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no
Cheeseburger,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no
Cheesewreck,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no
Chem Crush,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Chem D.O.G.,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Chem Scout,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Chem Valley Kush,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Chem's Sister,yes,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no
ChemWreck,no,no,no,no,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no
Chemdawg,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
Chemdawg #4 x Alien OG Kush,yes,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
Chemdawg 4,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,yes
Chemdawg 91,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
Chemdawg Sour Diesel,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
Chemmy Jones,yes,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Chemnesia,yes,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no
Chemo,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no
Chernobyl,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no
Cherries Jubilee,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Cherry AK-47,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no
Cherry Bomb,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no
Cherry Cookies,yes,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Cherry Cream Pie,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Cherry Diesel,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
Cherry Durban Poison,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no
Cherry Grapefruit,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Cherry Kola,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no
Cherry Kush,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes
Cherry Limeade,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Cherry OG,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
Cherry Pie,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
Cherry Pie Kush,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no
Cherry Sauce,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no
Cherry Sherbet,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no
Cherry Skunk,yes,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no
Cherry Thunder Fuck,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes
Chiesel,yes,no,no,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no
China Yunnan,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no
Chiquita Banana,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes
Chloe,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes
Chocolate Chunk,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
Chocolate Diesel,no,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
Chocolate Drop,yes,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Chocolate Fondue,no,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no
Chocolate Hashberry,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Chocolate Kush,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no
Chocolate OG,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no
Chocolate Thai,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no
Chocolate Thunder,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no
Chocolope,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes
Chocolope Kush,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,yes
Chong Star,yes,no,no,no,yes,yes,no,yes,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
Chronic,no,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,yes,no,no,no,no,no
Chronic Thunder,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes
Chucky's Bride,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no
Chunky Diesel,yes,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no
Chupacabra,yes,no,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
Church OG,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,yes,no,no
Cinderella 99,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no
Cinderella's Dream,yes,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Cindy White,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Cinex,no,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no
Cirrus,no,no,no,yes,no,yes,no,no,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no
Citrix,no,no,no,yes,yes,yes,no,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,no
Citrus Kush,yes,no,no,yes,yes,no,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
Citrus Punch,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no
Citrus Sap,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,yes,no,no,yes,no,no,no
Citrus Sunshine Haze,no,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no
Clementine,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no
Clementine Kush,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no
Clockwork Orange,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Cloud 9,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no
Club 69,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Cluster Bomb,yes,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
Cold Creek Kush,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes
Colombian Gold,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Colombian Mojito,no,no,no,yes,no,no,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no
Colorado Bubba,yes,no,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes
Colorado Chem,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no
Colorado Clementines,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Commerce City Kush,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Concord Grape Blockhead,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes
Confidential Cheese,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no
Connie Chung,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no
Conspiracy Kush,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no
Cookie Breath,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no
Cookie Dough,yes,no,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no
Cookie Jar,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no
Cookie Monster,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,no
Cookie Wreck,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,yes
Cookies Kush,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Cookies and Cream,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no
Cookies and Dream,yes,no,no,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
Copper Kush,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
Corleone Kush,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,yes,no,yes
Cornbread,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Cosmic Collision,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Cotton Candy Kush,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
Cotton Purple Chem,yes,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes
Cracker Jack,no,yes,no,no,no,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no
Crater Lake,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no
Crazy Miss Hyde,yes,no,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no
Cream Caramel,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,no,yes
Crimea Blue,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
Critical 47,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no
Critical Bilbo,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,yes,yes,no,no
Critical Cheese,no,no,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no
Critical Haze,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no
Critical Hog,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Critical Jack,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no
Critical Kali Mist,no,yes,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes
Critical Kush,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no
Critical Mass,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no
Critical Plus,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no
Critical Plus 2.0,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no
Critical Sensi Star,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes
Critical Widow,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no
Critters Cookies,yes,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Crosswalker,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no
